Player,position,x1_goalspergame,x2_assists,x3_passingacc,x4_longballacc,x5_crossingacc,x6_interceptions,x7_ballrecov,x8_nowaythru,x9_clearance,x10_dribbsucc,x11_duelwon,x12_aerialduelwon,x13_cleansheet,x14_percentsaved,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman,y1_tradkeeper,y2_sweeperkeeper,y3_ballplayingdefender,y4_nononsensedefender,y5_fullback,y6_allactionmidfielder,y7_midfieldplaymaker,y8_traditionalwinger,y9_invertedwinger,y10_goalpoacher,y11_targetman
hafiz ahmad,gk,25,25,86.5,63.25,25,56.73076923,76.20192308,31.52173913,42.1875,100,78.25,91,43.75,51.61290323,58.62306431,62.78653206,68.68281773,63.92212793,63.98373119,61.83957776,60.09209657,49.18846363,56.62283863,57.46096363,68.07346363,1,1,1,1,1,1,1,0,1,1,1
syazwan buhari,gk,25,25,94,77.5,25,44.23076923,76.20192308,28.26086957,32.8125,100,71.5,100,100,57.66129032,72.91739987,73.27449664,69.23227425,59.98332358,62.89693771,60.3809908,61.29530309,49.51449624,55.80512124,57.26949624,67.09449624,1,1,1,1,1,1,1,0,1,1,1
ridhuan barudin,gk,25,25,84.25,58,25,44.23076923,46.63461538,25,25,25,25,25,43.75,100,50.63826923,50.33076923,43.40038462,32.90269231,33.69903846,37.51980769,41.53326923,30.42980769,31.67980769,27.66230769,27.66230769,1,1,0,0,0,0,0,0,0,0,0
hairul syirhan,gk,25,25,91,76,25,40.38461538,53.125,26.63043478,35.9375,25,72.25,100,43.75,52.82258065,53.26807106,58.71476461,61.23517559,45.62363294,48.91685828,50.17448579,51.86387751,37.662176,44.184051,45.627176,44.239676,1,1,1,0,0,1,1,0,0,0,0
rudy khairullah,gk,25,25,93.25,67.75,25,56.73076923,70.43269231,25,32.8125,25,75.25,62.5,43.75,57.66129032,52.25589485,56.83549163,60.92134615,47.43971154,49.19447115,51.81701923,51.83879808,36.49639423,43.16201923,41.56639423,42.20389423,1,1,1,0,0,1,1,0,0,0,0
zaiful nizam,gk,25,25,88,72.25,25,39.42307692,54.56730769,25,28.125,100,81.25,87.25,62.5,46.77419355,59.16883375,62.87189826,62.82086538,55.14423077,59.73528846,54.73105769,58.22576923,48.10105769,55.13230769,56.02105769,66.97105769,1,1,1,1,1,1,1,0,1,1,1
kenji syed rusydi,gk,25,25,86.5,57.25,25,50.96153846,58.89423077,29.89130435,29.6875,25,100,100,25,55.24193548,52.30237384,57.383019,62.75783445,49.79609114,53.40201714,53.37499582,52.35172868,37.96681647,46.95119147,49.40431647,49.40431647,1,1,1,0,1,1,1,0,0,0,0
zharfan rohaizad,gk,25,25,84.25,67.75,25,53.84615385,58.17307692,25,39.0625,25,100,100,62.5,54.03225806,61.52150589,63.98392525,64.61125,51.49432692,54.25504808,54.30538462,53.07408654,38.79350962,48.24663462,49.98350962,49.98350962,1,1,1,1,1,1,1,0,0,0,0
izwan mahbud,gk,25,25,86.5,62.5,25,47.11538462,58.89423077,25,35.9375,100,100,25,62.5,89.11290323,65.32332351,64.73929125,58.80673077,55.74682692,58.59783654,53.07144231,57.14735577,46.61706731,55.91394231,51.14706731,66.14706731,1,1,1,1,1,1,1,0,1,1,1
riki kimura,gk,25,25,88,48.25,25,51.92307692,58.89423077,29.89130435,35.9375,25,85,100,25,49.19354839,49.62182173,54.58633786,61.14321906,49.44416806,51.18567099,52.48922659,51.0923056,37.17354724,44.97042224,47.33604724,46.58604724,0,1,1,0,1,1,1,0,0,0,0
