Player Name,NATIONALITY,HEIGHT,PREFERRED FOOT,SHIRT NUMBER,POSITION,Goals per game,Assists,Accurate per game,Acc. long balls,Acc. crosses,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Succ. dribbles,Total duels won,Aerial duels won,Clean sheets,Saves per game,Traditional Keeper,Sweeper Keeper,Ball Playing Defender,No Nonsense Defender,Full Back,All Action Midfielder,Midfield Playmaker,Traditional Winger,Inverted Winger,Goal Poacher,Target Man
ethan pinto,SIN,166 cm,,33,M,25.0,25.0,91.0,25.0,25.0,25.0,25.0,29.89130434782608,25.0,25.0,35.5,25.0,,,,,36.1945652173913,27.95695652173913,30.119565217391305,31.60913043478261,39.284565217391304,28.922826086956523,31.222826086956523,27.992826086956523,28.517826086956525
garv sahoo,SIN,,,27,M,25.0,25.0,86.5,25.0,25.0,29.518072289156628,32.14285714285714,33.152173913043484,32.8125,25.0,43.75,25.0,,,,,38.90245594177954,32.15990673875627,32.85182663885355,34.60935680610641,40.181280167252865,29.799387066901144,33.31501206690115,29.829387066901145,30.766887066901145
nyqil iyyan,SIN,,,46,M,25.0,25.0,91.0,25.0,25.0,25.0,39.285714285714285,25.0,25.0,75.25,58.0,25.0,,,,,42.855357142857144,38.87178571428572,42.216071428571425,39.082857142857144,46.57928571428571,37.77321428571428,42.323214285714286,39.09321428571428,48.28071428571429
farhan zulkifli,SIN,162 cm,,11,D,62.5,62.5,81.25,55.75,46.0,34.036144578313255,41.42857142857143,47.82608695652175,26.5625,74.5,50.5,34.75,,,,,49.61617741150939,45.18581503030756,50.92090094851456,48.84481609668487,58.51266514817032,56.80894105926813,59.41206605926813,55.72144105926813,58.30894105926813
kieran teo,SIN,,,15,D,37.5,25.0,88.0,61.75,62.5,100.0,88.57142857142857,62.5,100.0,85.0,47.5,54.25,,,,,76.23821428571429,80.29607142857144,70.05964285714286,73.85321428571429,65.31357142857144,58.55392857142857,60.80392857142857,55.56892857142858,62.356428571428566
ryaan sanizal,SIN,175 cm,,31,D,25.0,25.0,92.5,72.25,25.0,72.89156626506023,99.28571428571429,57.60869565217391,62.5,62.5,65.5,70.75,,,,,74.02277987727307,68.37031112025743,61.82066283768614,67.24996164783357,60.714298810147426,45.188219524058965,52.36321952405896,49.91321952405897,55.27571952405897
fairuz fazli,SIN,172 cm,Right,20,D,25.0,25.0,85.0,70.0,49.75,44.87951807228916,49.28571428571429,100.0,46.875,43.75,46.75,62.5,,,,,59.09839931153184,54.63759896729776,52.29777323580035,55.402284853700515,54.74701161790017,44.077054647160075,44.883304647160074,42.02205464716007,44.04705464716007
danish haqimi,SIN,,,25,D,25.0,25.0,100.0,25.0,25.0,25.0,32.14285714285714,25.0,25.0,25.0,100.0,25.0,,,,,44.82142857142857,34.857142857142854,40.714285714285715,38.07142857142857,46.357142857142854,32.64285714285714,41.39285714285714,37.89285714285714,41.64285714285714
abdullah nur adam,SIN,168 cm,Left,26,D,25.0,25.0,82.75,62.5,47.5,50.3012048192771,59.285714285714285,49.45652173913044,42.1875,68.5,49.75,49.75,,,,,57.10557780812691,52.78453519045125,53.395892997455654,52.818690039661746,53.731547042206095,45.55524381688244,46.76461881688244,43.35024381688243,49.87524381688244
yazid aqil,SIN,175 cm,Right,3,D,25.0,25.0,86.5,76.75,25.0,58.433734939759034,63.57142857142858,85.32608695652175,73.4375,100.0,42.25,49.75,,,,,66.29031682631145,68.57702415251066,59.11869569894485,62.57588322233032,60.34843752338548,48.83350000935419,54.23037500935419,49.38850000935418,60.26350000935419
syafi hilman,SIN,,,6,D,25.0,25.0,62.5,25.0,25.0,52.10843373493975,25.0,25.0,40.625,25.0,100.0,25.0,,,,,42.94051204819277,40.94201807228916,41.61709337349397,39.316265060240966,40.636671686746986,31.948418674698797,41.4796686746988,38.32341867469879,42.07341867469879
mustaqim ikram mikhail,SIN,,,4,D,25.0,25.0,62.5,100.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,39.625,27.25,30.625,31.75,38.5,30.625,31.875,27.25,27.25
raoul suhaimi,SIN,179 cm,,2,D,25.0,25.0,79.75,70.0,46.0,43.975903614457835,67.85714285714286,47.82608695652175,26.5625,68.5,57.25,75.25,,,,,59.963234210132455,52.26140022824216,55.92273399498615,54.44256566639228,54.48108167140612,46.106307668562444,47.50943266856245,47.081307668562445,52.70630766856245
sujuandy umayr,SIN,,,32,G,25.0,25.0,91.75,75.25,25.0,34.036144578313255,46.42857142857143,25.0,40.625,25.0,100.0,100.0,,47.98387096774193,,,62.6536230636833,47.10043459552496,51.92772160068847,50.6722074010327,53.674485800344236,38.990544320137694,48.521794320137694,49.730544320137696,49.730544320137696
aizil yazid,SIN,177 cm,Right,1,G,25.0,25.0,91.0,78.25,25.0,41.265060240963855,61.42857142857142,25.0,31.25,25.0,91.75,87.25,,51.61290322580645,,,62.85359294320138,46.84163941480207,51.53686316695352,51.66654475043029,53.23718158347676,38.15637263339071,46.39387263339071,46.856372633390706,47.081372633390714
ang travis,SIN,,,23,G,25.0,25.0,87.25,70.75,25.0,41.265060240963855,52.14285714285714,25.0,28.125,25.0,100.0,100.0,,43.145161290322584,,,61.91323580034423,46.65735370051635,52.1470417383821,51.02868760757315,52.43664586919105,38.17440834767642,47.08065834767642,49.184408347676424,49.184408347676424
syahadat masnawi,SIN,175 cm,Right,17,F,25.0,25.0,72.25,25.0,25.0,38.554216867469876,35.714285714285715,25.0,25.0,100.0,47.5,62.5,,,,,45.44614888123924,45.795473321858864,47.41435025817556,43.22027538726334,46.46342512908778,41.72287005163511,45.22287005163511,45.93037005163511,56.43037005163511
sahil bin suhaimi,SIN,173 cm,Right,32,M,37.5,25.0,80.5,75.25,35.5,30.42168674698795,32.14285714285714,31.52173913043478,28.125,94.75,58.75,46.75,,,,,51.430617937588856,45.98815516725286,51.116291345506255,45.90935549652024,52.865564151014,48.4454756604056,52.27672566040559,50.590475660405595,59.777975660405595
rezza rezky ramadhani,SIN,172 cm,,8,M,25.0,25.0,85.75,62.5,43.75,34.036144578313255,50.0,34.78260869565217,25.0,81.25,45.25,31.0,,,,,49.808467784180195,44.02291906757465,48.57274489261393,45.3561825563122,51.32593766369828,44.228875065479315,44.69137506547931,40.47137506547931,49.621375065479306
umar akhbar,SIN,164 cm,Right,14,M,25.0,25.0,62.5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,30.625,25.75,26.875,28.0,32.5,26.875,28.125,25.75,25.75
azim akbar,SIN,178 cm,Right,6,M,25.0,25.0,83.5,49.75,62.5,32.2289156626506,39.285714285714285,29.89130434782608,25.0,25.0,67.0,62.5,,,,,49.07489223976653,37.84244705530195,46.483528212227796,42.86882492703734,47.86029671480955,40.790618685923825,40.61561868592382,39.11811868592382,39.34311868592382
daniel elfian,SIN,,,16,M,25.0,25.0,88.0,75.25,25.0,49.39759036144578,44.28571428571429,29.89130434782608,25.0,25.0,62.5,25.0,,,,,50.29513320362194,38.30780850108508,40.900395682107316,42.59412613185661,47.04873044974931,33.50899217989973,38.50899217989973,33.86149217989973,35.73649217989973
akram azman,SIN,,Right,22,D,25.0,25.0,79.75,60.25,51.25,69.27710843373494,73.57142857142858,86.95652173913044,68.75,79.75,55.75,82.0,,,,,70.121793384719,71.71073355533936,65.39267978747287,67.47793272468758,61.01275293721471,52.06360117488588,54.63860117488588,52.843601174885876,59.74360117488588
shahrin saberin,SIN,179 cm,Right,3,D,25.0,25.0,79.0,56.5,25.0,43.0722891566265,50.0,49.45652173913044,29.6875,100.0,34.75,25.0,,,,,49.21525078575171,48.96654465688842,47.75193000261917,46.956495547407016,50.21081554478785,42.597451217915136,45.05682621791514,41.00745121791514,52.744951217915144
faizal roslan,SIN,181 cm,Right,15,D,37.5,25.0,84.25,67.0,29.5,71.08433734939757,80.0,77.17391304347827,64.0625,100.0,52.0,64.75,,,,,70.38506613410162,72.15980028810895,64.13775438711366,67.53504190675747,61.68603751964379,52.67079000785752,58.523915007857525,56.97579000785751,65.71329000785752
syed akmal,SIN,,,5,D,25.0,25.0,89.5,64.0,43.75,62.95180722891566,79.28571428571428,52.71739130434784,57.81250000000001,25.0,48.25,66.25,,,,,63.95669357554441,55.23544797201228,52.02524671668038,57.43986735762927,53.66837064094889,40.77722325637956,43.18034825637955,40.33472325637956,39.434723256379556
fashah iskandar,SIN,187 cm,Right,18,G,25.0,25.0,70.75,52.0,25.0,65.66265060240963,75.0,25.0,40.625,25.0,75.25,100.0,,51.61290322580645,,,62.31951807228915,52.861777108433735,52.02251506024096,54.87939759036144,48.64438253012049,36.74450301204819,43.80075301204819,46.33700301204819,45.09950301204819
prathip ekamparam,SIN,187 cm,Right,1,G,25.0,25.0,88.75,51.25,25.0,49.39759036144578,60.0,29.89130434782608,39.0625,25.0,91.0,100.0,,55.241935483870975,,,62.3910260607648,50.359772786799375,52.28744925353588,53.216268988999474,52.0475697354636,37.78890289418544,46.34202789418544,48.43890289418544,47.988902894185436
riki kimura,SIN,190 cm,,28,G,25.0,25.0,91.0,67.75,25.0,43.0722891566265,50.0,25.0,25.0,25.0,100.0,100.0,,25.0,,,61.69867469879518,46.17801204819277,51.99472891566265,50.878343373493976,52.77361445783132,38.04894578313253,46.79894578313253,49.03644578313253,49.03644578313253
